locs,techs,lookup_loc_techs
W2,diesel,W2::diesel::power
W2,gas,W2::gas::power
W2,geothermal,W2::geothermal::power
W2,hydro,W2::hydro::power
W2,pumped_hydro,W2::pumped_hydro::power
W2,solar,W2::solar::power
W2,wind_offshore,W2::wind_offshore::power
W2,wind_onshore,W2::wind_onshore::power
W3,ac_transmission:W1,W3::ac_transmission:W1::power
W3,ac_transmission:W4,W3::ac_transmission:W4::power
W3,battery,W3::battery::power
W3,biomass,W3::biomass::power
W3,coal,W3::coal::power
W3,demand_power,W3::demand_power::power
W3,diesel,W3::diesel::power
W3,gas,W3::gas::power
W3,geothermal,W3::geothermal::power
W3,hvac_transmission:W3-IMP,W3::hvac_transmission:W3-IMP::power
W3,hydro,W3::hydro::power
W3,pumped_hydro,W3::pumped_hydro::power
W3,solar,W3::solar::power
W3,wind_offshore,W3::wind_offshore::power
W3,wind_onshore,W3::wind_onshore::power
W3-IMP,hvac_transmission:W3,W3-IMP::hvac_transmission:W3::power
W3-IMP,hydro_import,W3-IMP::hydro_import::power
W4,ac_transmission:W2,W4::ac_transmission:W2::power
W4,ac_transmission:W3,W4::ac_transmission:W3::power
W4,ac_transmission_new:W5,W4::ac_transmission_new:W5::power
W4,battery,W4::battery::power
W4,biomass,W4::biomass::power
W4,coal,W4::coal::power
W4,demand_power,W4::demand_power::power
W4,diesel,W4::diesel::power
W4,gas,W4::gas::power
W4,geothermal,W4::geothermal::power
W4,hydro,W4::hydro::power
W4,pumped_hydro,W4::pumped_hydro::power
W4,solar,W4::solar::power
W4,wind_offshore,W4::wind_offshore::power
W4,wind_onshore,W4::wind_onshore::power
W5,ac_transmission_new:W4,W5::ac_transmission_new:W4::power
W5,ac_transmission_new:W7,W5::ac_transmission_new:W7::power
W5,battery,W5::battery::power
W5,biomass,W5::biomass::power
W5,coal,W5::coal::power
W5,demand_power,W5::demand_power::power
W5,diesel,W5::diesel::power
W5,gas,W5::gas::power
W5,geothermal,W5::geothermal::power
W5,hydro,W5::hydro::power
W5,pumped_hydro,W5::pumped_hydro::power
W5,solar,W5::solar::power
W5,wind_offshore,W5::wind_offshore::power
W5,wind_onshore,W5::wind_onshore::power
W6,ac_transmission_new:C1,W6::ac_transmission_new:C1::power
W6,ac_transmission_new:W2,W6::ac_transmission_new:W2::power
W6,battery,W6::battery::power
W6,biomass,W6::biomass::power
W6,coal,W6::coal::power
W6,demand_power,W6::demand_power::power
W6,diesel,W6::diesel::power
W6,gas,W6::gas::power
W6,geothermal,W6::geothermal::power
W6,hydro,W6::hydro::power
W6,pumped_hydro,W6::pumped_hydro::power
W6,solar,W6::solar::power
W6,wind_offshore,W6::wind_offshore::power
W6,wind_onshore,W6::wind_onshore::power
W7,ac_transmission_new:W5,W7::ac_transmission_new:W5::power
W7,battery,W7::battery::power
W7,biomass,W7::biomass::power
W7,coal,W7::coal::power
W7,demand_power,W7::demand_power::power
W7,diesel,W7::diesel::power
W7,gas,W7::gas::power
W7,geothermal,W7::geothermal::power
W7,hydro,W7::hydro::power
W7,pumped_hydro,W7::pumped_hydro::power
W7,solar,W7::solar::power
W7,wind_offshore,W7::wind_offshore::power
W7,wind_onshore,W7::wind_onshore::power
