locs,techs,timesteps,resource_con
N1,solar,2021-01-18 16:00:00,0.406016
N1,solar,2021-01-18 18:00:00,0.0
N1,solar,2021-01-18 20:00:00,0.0
N1,solar,2021-01-18 22:00:00,0.0
N1,solar,2021-01-19 00:00:00,0.0
N1,solar,2021-01-19 02:00:00,0.0
N1,solar,2021-01-19 04:00:00,0.0
N1,solar,2021-01-19 06:00:00,0.584064
N1,solar,2021-01-19 08:00:00,1.4241759999999999
N1,solar,2021-01-19 10:00:00,1.596192
N1,solar,2021-01-19 12:00:00,1.557712
N1,solar,2021-01-19 14:00:00,1.300624
N1,solar,2021-01-19 16:00:00,0.5512
N1,solar,2021-01-19 18:00:00,0.0
N1,solar,2021-01-19 20:00:00,0.0
N1,solar,2021-01-19 22:00:00,0.0
N1,solar,2021-01-20 00:00:00,0.0
N1,solar,2021-01-20 02:00:00,0.0
N1,solar,2021-01-20 04:00:00,0.0
N1,solar,2021-01-20 06:00:00,0.500032
N1,solar,2021-01-20 08:00:00,1.3249600000000001
N1,solar,2021-01-20 10:00:00,1.5156960000000002
N1,solar,2021-01-20 12:00:00,1.501968
N1,solar,2021-01-20 14:00:00,1.1928800000000002
N1,solar,2021-01-20 16:00:00,0.41288
N1,solar,2021-01-20 18:00:00,0.0
N1,solar,2021-01-20 20:00:00,0.0
N1,solar,2021-01-20 22:00:00,0.0
N1,solar,2021-01-21 00:00:00,0.0
N1,solar,2021-01-21 02:00:00,0.0
N1,solar,2021-01-21 04:00:00,0.0
N1,solar,2021-01-21 06:00:00,0.448448
N1,solar,2021-01-21 08:00:00,1.3114400000000002
N1,solar,2021-01-21 10:00:00,1.534832
N1,solar,2021-01-21 12:00:00,1.519856
N1,solar,2021-01-21 14:00:00,1.2950080000000002
N1,solar,2021-01-21 16:00:00,0.5961280000000001
N1,solar,2021-01-21 18:00:00,0.0
N1,solar,2021-01-21 20:00:00,0.0
N1,solar,2021-01-21 22:00:00,0.0
N1,solar,2021-01-22 00:00:00,0.0
N1,solar,2021-01-22 02:00:00,0.0
N1,solar,2021-01-22 04:00:00,0.0
N1,solar,2021-01-22 06:00:00,0.612144
N1,solar,2021-01-22 08:00:00,1.438112
N1,solar,2021-01-22 10:00:00,1.605968
N1,solar,2021-01-22 12:00:00,1.5704
N1,solar,2021-01-22 14:00:00,1.3821600000000003
N1,solar,2021-01-22 16:00:00,0.71552
N1,solar,2021-01-22 18:00:00,0.0
N1,solar,2021-01-22 20:00:00,0.0
N1,solar,2021-01-22 22:00:00,0.0
N1,solar,2021-01-23 00:00:00,0.0
N1,solar,2021-01-23 02:00:00,0.0
N1,solar,2021-01-23 04:00:00,0.0
N1,solar,2021-01-23 06:00:00,0.67496
N1,solar,2021-01-23 08:00:00,1.4125280000000002
N1,solar,2021-01-23 10:00:00,1.407952
N1,solar,2021-01-23 12:00:00,1.275248
N1,solar,2021-01-23 14:00:00,0.8833759999999999
N1,solar,2021-01-23 16:00:00,0.300352
N1,solar,2021-01-23 18:00:00,0.0
N1,solar,2021-01-23 20:00:00,0.0
N1,solar,2021-01-23 22:00:00,0.0
N1,solar,2021-01-24 00:00:00,0.0
N1,solar,2021-01-24 02:00:00,0.0
N1,solar,2021-01-24 04:00:00,0.0
N1,solar,2021-01-24 06:00:00,0.546
N1,solar,2021-01-24 08:00:00,1.393184
N1,solar,2021-01-24 10:00:00,1.5672800000000002
N1,solar,2021-01-24 12:00:00,1.534416
N1,solar,2021-01-24 14:00:00,1.286272
N1,solar,2021-01-24 16:00:00,0.6472960000000001
N1,solar,2021-01-24 18:00:00,0.0
N1,solar,2021-01-24 20:00:00,0.0
N1,solar,2021-01-24 22:00:00,0.0
N1,solar,2021-01-25 00:00:00,0.0
N1,solar,2021-01-25 02:00:00,0.0
N1,solar,2021-01-25 04:00:00,0.0
N1,solar,2021-01-25 06:00:00,0.222352
N1,solar,2021-01-25 08:00:00,0.634816
N1,solar,2021-01-25 10:00:00,0.8733920000000001
N1,solar,2021-01-25 12:00:00,0.8948160000000001
N1,solar,2021-01-25 14:00:00,0.715728
N1,solar,2021-01-25 16:00:00,0.303472
N1,solar,2021-01-25 18:00:00,0.0
N1,solar,2021-01-25 20:00:00,0.0
N1,solar,2021-01-25 22:00:00,0.0
N1,solar,2021-01-26 00:00:00,0.0
N1,solar,2021-01-26 02:00:00,0.0
N1,solar,2021-01-26 04:00:00,0.0
N1,solar,2021-01-26 06:00:00,0.224432
N1,solar,2021-01-26 08:00:00,1.037296
N1,solar,2021-01-26 10:00:00,1.3409760000000002
N1,solar,2021-01-26 12:00:00,1.3834080000000002
N1,solar,2021-01-26 14:00:00,1.11176
N1,solar,2021-01-26 16:00:00,0.46904
N1,solar,2021-01-26 18:00:00,0.0
N1,solar,2021-01-26 20:00:00,0.0
N1,solar,2021-01-26 22:00:00,0.0
N1,solar,2021-01-27 00:00:00,0.0
N1,solar,2021-01-27 02:00:00,0.0
N1,solar,2021-01-27 04:00:00,0.0
N1,solar,2021-01-27 06:00:00,0.38771200000000006
N1,solar,2021-01-27 08:00:00,1.131936
N1,solar,2021-01-27 10:00:00,1.44144
N1,solar,2021-01-27 12:00:00,1.4901119999999999
N1,solar,2021-01-27 14:00:00,1.2359360000000001
N1,solar,2021-01-27 16:00:00,0.55328
N1,solar,2021-01-27 18:00:00,0.0
N1,solar,2021-01-27 20:00:00,0.0
N1,solar,2021-01-27 22:00:00,0.0
N1,solar,2021-01-28 00:00:00,0.0
N1,solar,2021-01-28 02:00:00,0.0
N1,solar,2021-01-28 04:00:00,0.0
N1,solar,2021-01-28 06:00:00,0.49004800000000004
N1,solar,2021-01-28 08:00:00,1.27712
N1,solar,2021-01-28 10:00:00,1.514032
N1,solar,2021-01-28 12:00:00,1.4734720000000001
N1,solar,2021-01-28 14:00:00,1.0813920000000001
N1,solar,2021-01-28 16:00:00,0.37398400000000004
N1,solar,2021-01-28 18:00:00,0.0
N1,solar,2021-01-28 20:00:00,0.0
N1,solar,2021-01-28 22:00:00,0.0
N1,solar,2021-01-29 00:00:00,0.0
N1,solar,2021-01-29 02:00:00,0.0
N1,solar,2021-01-29 04:00:00,0.0
N1,solar,2021-01-29 06:00:00,0.418912
N1,solar,2021-01-29 08:00:00,1.056224
N1,solar,2021-01-29 10:00:00,1.273168
N1,solar,2021-01-29 12:00:00,1.2584
N1,solar,2021-01-29 14:00:00,1.0578880000000002
N1,solar,2021-01-29 16:00:00,0.46404800000000007
N1,solar,2021-01-29 18:00:00,0.0
N1,solar,2021-01-29 20:00:00,0.0
N1,solar,2021-01-29 22:00:00,0.0
N1,solar,2021-01-30 00:00:00,0.0
N1,solar,2021-01-30 02:00:00,0.0
N1,solar,2021-01-30 04:00:00,0.0
N1,solar,2021-01-30 06:00:00,0.433264
N1,solar,2021-01-30 08:00:00,1.2303199999999999
N1,solar,2021-01-30 10:00:00,1.469312
N1,solar,2021-01-30 12:00:00,1.4634880000000001
N1,solar,2021-01-30 14:00:00,1.086592
N1,solar,2021-01-30 16:00:00,0.36545600000000006
N1,solar,2021-01-30 18:00:00,0.0
N1,solar,2021-01-30 20:00:00,0.0
N1,solar,2021-01-30 22:00:00,0.0
N1,solar,2021-01-31 00:00:00,0.0
N1,solar,2021-01-31 02:00:00,0.0
N1,solar,2021-01-31 04:00:00,0.0
N1,solar,2021-01-31 06:00:00,0.27227200000000007
N1,solar,2021-01-31 08:00:00,1.1250719999999998
N1,solar,2021-01-31 10:00:00,1.438944
N1,solar,2021-01-31 12:00:00,1.396512
N1,solar,2021-01-31 14:00:00,1.1061440000000002
N1,solar,2021-01-31 16:00:00,0.424112
N1,solar,2021-01-31 18:00:00,0.0
N1,solar,2021-01-31 20:00:00,0.0
N1,solar,2021-01-31 22:00:00,0.0
N1,solar,2021-02-01 00:00:00,0.0
N1,solar,2021-02-01 02:00:00,0.0
N1,solar,2021-02-01 04:00:00,0.0
N1,solar,2021-02-01 06:00:00,0.334048
N1,solar,2021-02-01 08:00:00,0.981552
N1,solar,2021-02-01 10:00:00,1.3884
N1,solar,2021-02-01 12:00:00,1.4499680000000001
N1,solar,2021-02-01 14:00:00,1.1874719999999999
N1,solar,2021-02-01 16:00:00,0.509184
N1,solar,2021-02-01 18:00:00,0.0
N1,solar,2021-02-01 20:00:00,0.0
N1,solar,2021-02-01 22:00:00,0.0
N1,solar,2021-02-02 00:00:00,0.0
N1,solar,2021-02-02 02:00:00,0.0
N1,solar,2021-02-02 04:00:00,0.0
N1,solar,2021-02-02 06:00:00,0.361504
N1,solar,2021-02-02 08:00:00,1.1883039999999998
N1,solar,2021-02-02 10:00:00,1.388608
N1,solar,2021-02-02 12:00:00,1.3468
N1,solar,2021-02-02 14:00:00,1.0088
N1,solar,2021-02-02 16:00:00,0.246688
N1,solar,2021-02-02 18:00:00,0.0
N1,solar,2021-02-02 20:00:00,0.0
N1,solar,2021-02-02 22:00:00,0.0
N1,solar,2021-02-03 00:00:00,0.0
N1,solar,2021-02-03 02:00:00,0.0
N1,solar,2021-02-03 04:00:00,0.0
N1,solar,2021-02-03 06:00:00,0.503568
N1,solar,2021-02-03 08:00:00,1.33848
N1,solar,2021-02-03 10:00:00,1.563536
N1,solar,2021-02-03 12:00:00,1.524848
N1,solar,2021-02-03 14:00:00,1.2488320000000002
N1,solar,2021-02-03 16:00:00,0.5670080000000001
N1,solar,2021-02-03 18:00:00,0.0
N1,solar,2021-02-03 20:00:00,0.0
N1,solar,2021-02-03 22:00:00,0.0
N1,solar,2021-02-04 00:00:00,0.0
N1,solar,2021-02-04 02:00:00,0.0
N1,solar,2021-02-04 04:00:00,0.0
N1,solar,2021-02-04 06:00:00,0.591968
N1,solar,2021-02-04 08:00:00,1.3262079999999998
N1,solar,2021-02-04 10:00:00,1.4976
N1,solar,2021-02-04 12:00:00,1.4295840000000002
N1,solar,2021-02-04 14:00:00,1.1639680000000003
N1,solar,2021-02-04 16:00:00,0.457392
N1,solar,2021-02-04 18:00:00,0.0
N1,solar,2021-02-04 20:00:00,0.0
N1,solar,2021-02-04 22:00:00,0.0
N1,solar,2021-02-05 00:00:00,0.0
